course_branch_id;course_module_id;course_branch_module_order;course_branch_module_name;course_branch_module_desc
"393";"5696";0;"";""
"393";"5697";1;"0.1. Введение в курс.";" Введение в курс"
"393";"5698";2;"1. Введение в машинное обучение. ";"1. Введение в машинное обучение. Примерное время изучения темы: 5 часовОсновные задачи машинного обучения. Виды обучения. Задачи анализа данных. Этапы решения задачи машинного обучения"
"393";"7796";3;"2. Построение регрессионных зависимостей";"2. Построение регрессионных зависимостей. Примерное время изучения темы: 12 часовПостановка задачи регрессионного анализа. Критерий минимума наименьших квадратов. Метрики качества модели. Линейная регрессия. Построение линейной регрессии. Работа с библиотекой scikit-learn"
"393";"7797";4;"3. Решение задач классификации";"3. Решение задачи классификацииПримерное время изучения темы: 10 часовПостановка задачи классификации. Функции потерь в задачах классификации. Метрики качества. Методы классификации. Метод k- ближайших соседей. Логистическая регрессия. Повышение качества классификации. Работа с библиотекой scikit-learn."
"393";"5699";5;"4. Решение задач снижения размерности и кластеризации.";"4. Решение задач снижения размерности и кластеризации.Примерное время изучения: 9 часов.Постановка задачи  снижения размерности данных. Постановка задачи  факторного анализа данных. Линейный ФА: метод PCA. Снижение размерности: метод tsne. Постановка задачи кластеризации данных. Метод k- средних. Метод иерархической кластеризации. "
"393";"5702";6;"5. Основы нейросетевых вычислений";"5. Основы нейросетевых вычисленийПримерное время изучения: 9 часов.История нейросетевых вычислений. Алгебраическая модель нейрона. Функции активации. Модель нейрона с тождественной функцией активации. Построение линейной регрессии. Модель нейрона с логистической функцией активации. Построение классификатора. Моделирование булевых операций. Реализация моделей нейронов с использованием библиотеки numpy."
"393";"5700";7;"6. Модель многослойной нейросети";"6. Модель многослойной нейросети. Обучение нейронаПримерное время изучения: 12 часов.Проблема XOR. Модель нейросети, реализующей операцию XOR.  Нейросетевое моделирование предикатов. Модель многослойных классификационных нейросетей. Пример реализации нейросетей с использованием библиотеки numpy. Обучение нейрона. Правило Хебба. Применение метода градиентного спуска для обучения нейрона. Пример и иллюстрация обучения нейрона с использованием библиотеки numpy."
"393";"5701";8;"7. Обучение многослойной нейросети";"7. Обучение многослойной нейросети.Примерное время изучения: 15 часов.Алгоритм обратного распространения ошибки для оптимизации многослойных нейронных сетей. Пример обучения нейросети, реализующей XOR с помощью алгоритма обратного распространения ошибки  с использованием библиотеки numpy. Стохастический градиентный спуск (СГС). Регуляризация. Подбор параметров нейросети и обучения.  Визуализация процесса обучения нейросетей. "
"393";"5703";9;"8. Классификация объектов. Анализ изображений.";"8. Решение задач классификации объектовПримерное время изучения: 15 часов.Реализация конструирования и обучения многослойных классификационных нейросетей с использованием библиотеки tensorflow.keras. Основные возможности библиотеки tensorflow.keras по построению и обучению нейросетей. Борьба с переобучением нейросетей и с затуханием градиента при обучении. Виды функций активации для скрытых слоев. Dropout. Batch-нормализация. Методы оптимизации нейросетей.  Пример классификации изображений рукописных цифр (MNIST). Пример распознавания рукописных букв. "
"393";"7808";10;"";"9. Сверточные сети. Распознавание изображенийПримерное время изучения: 9 часов.Сверточные сети. Сверточные и подвыборочные слои. Ядра и смещения. Обучение сверточных сетей. Пример классификации изображений рукописных цифр (MNIST).  Решение кейса по распознаванию изображений рукописных букв с использованием сверточных сетей и функционала библиотеки tensorflow.keras. "
"393";"5704";11;"9. Нейросетевой факторный анализ.";"10. Нейросетевой факторный анализ данных.Примерное время изучения: 12 часов.Автоэнкодинговые сети. Структура и обучение. Сверточные автоэнкодинговые сети. Пример факторного анализа фотографий лиц. Обучение нейросетей фильтрации шумов. Пример фильтрации шумов на изображениях рукописных цифр с использованием сверточных автоэнкодинговых нейросетей и функнционала библиотеки tensorflow.keras.Факторы, определяющих успешные результаты обучения на онлайн-курсе. Анализ факторов на основе PCA. Нейросетевой анализ факторов. Сравнение результатов. Решение кейса по анализу факторов успешного обучения на онлайн-курсе"
"393";"7809";12;"";""
