id;courseid;type;name
18869;190;questionnaire;Входная анкета курса
18870;190;page;Зачем мне этот курс
18879;190;videofile;Знакомство с курсом
18872;190;book;ОПИСАНИЕ КУРСА ЛАиГ
18873;190;page;Рекомендации по работе с данным курсом (для студентов)
18874;190;page;Общие принципы изучения курса (для студентов)
18875;190;resource;Список литературы
18876;190;label;ВХОДНОЙ КОНТРОЛЬ
18880;190;videofile;1.1 Матрицы (ВИДЕО)
19029;190;videofile;1.2 Основные операции с матрицами (ВИДЕО)
18882;190;videofile;1.3 Квадратные матрицы (ВИДЕО)
19027;190;resource;1.4 Введение в алгебру матриц (ПРЕЗЕНТАЦИЯ)
18885;190;quiz;1.5. Введение в алгебру матриц (ТЕСТ)
18893;190;hsuforum;1.6. БОЛТАЛКА ТЕМЫ
19028;190;videofile;2.1 СЛАУ (ВИДЕО)
18881;190;videofile;2.2 Графический смысл решения СЛАУ (ВИДЕО)
19030;190;videofile;2.3. Идея решения СЛАУ. Элементарные преобразования (ВИДЕО)
19203;190;videofile;2.4. Матрицы элементарных преобразований (ВИДЕО)
19204;190;videofile;2.5. Решение СЛАУ методом Гаусса (ВИДЕО)
18888;190;quiz;2.6. СЛАУ - теория (тест)
19205;190;quiz;2.7. СЛАУ - практика (тест)
19208;190;hsuforum;2.8. БОЛТАЛКА ТЕМЫ
19529;190;videofile;3.1. LU – разложение матрицы (ВИДЕО)
19531;190;videofile;3.2. Обратные матрицы ЭП (ВИДЕО)
19532;190;videofile;3.3. Приведение матрицы к ступенчатому виду (ВИДЕО)
19533;190;videofile;3.4. Вычисление обратной матрицы (ВИДЕО)
19535;190;quiz;3.5. Обратные матрицы - теория (тест)
19530;190;quiz;3.6. Обратные матрицы - практика (тест)
19534;190;hsuforum;3.7. БОЛТАЛКА ТЕМЫ
19600;190;videofile;4.1. Линейная зависимость столбцов-строк. Ранг матрицы (ВИДЕО)
19603;190;videofile;4.2. Свойства ранга матрицы (ВИДЕО)
20909;190;quiz;4.3. Ранг матрицы - теория и практика (тест)
19604;190;videofile;5.1. Общее решение однородного уравнения (ВИДЕО)
19606;190;videofile;5.2. Пример решения СЛОУ. Ядро матрицы (ВИДЕО)
19607;190;videofile;5.3. Условие существования решения НЕоднородного уравнения. Теорема Кронеккера-Капелли (ВИДЕО)
19608;190;videofile;5.4. Общее решение НЕоднородного уравнения (ВИДЕО)
21110;190;quiz;5.5. Общее решение СЛАУ- теория и практика (тест)
21204;190;hsuforum;5.6. БОЛТАЛКА ТЕМЫ
21152;190;videofile;6.1. Мотивация или зачем нам нужен определитель? (ВИДЕО)
21153;190;videofile;6.2. Перестановки (ВИДЕО)
21154;190;videofile;6.3. Определитель (ВИДЕО)
21155;190;videofile;6.4. Свойства определителя (ВИДЕО)
21159;190;quiz;6.5. Перестановки и определители (тест)
27295;190;resource;Тема 6 Перестановки, определитель и его свойства 1-4 части
21156;190;videofile;6.6. Вычисление определителя (ВИДЕО)
21157;190;videofile;6.7. Миноры и алгебраические дополнения (ВИДЕО)
21158;190;videofile;6.8. Теорема Лапласа и формула Крамера (ВИДЕО)
21160;190;quiz;6.9. Вычисление определителей. Миноры и А.Д. (тест)
21205;190;hsuforum;6.91. БОЛТАЛКА ТЕМЫ
18894;190;page;ДОПУСК к ИТОГОВОМУ ТЕСТУ РАЗДЕЛА
18895;190;page;ПРАВИЛА ПРОВЕДЕНИЯ ИТОГОВОГО ТЕСТИРОВАНИЯ
18896;190;page;Инструкция по проведению итогового теста (для преподавателей и организаторов)
18897;190;quiz;ИТОГОВЫЙ ТЕСТ ПО РАЗДЕЛУ МАТРИЧНАЯ АЛГЕБРА
25340;190;simplecertificate;Сертификат об успешном  завершении курса "Линейная алгебра и геометрия. Часть 1. Алгебра матриц"
7719;190;forum;Объявления
18899;190;forum;Организационный форум
18900;190;forum;Координационный форум
40243;190;page;Полезные ссылки. Иллюстративные материалы
18884;190;label;КОНТРОЛЬ
190;190;course;Линейная алгебра и геометрия. Часть 1. Алгебра матриц
