event_id;event_name
\core\event\badge_archived;Значок заархивирован
\core\event\badge_awarded;Значок выдан
\core\event\badge_created;Значок создан
\core\event\badge_criteria_created;Критерии значка созданы
\core\event\badge_criteria_deleted;Критерии значка удалены
\core\event\badge_criteria_updated;Критерии значка обновлены
\core\event\badge_deleted;Значок удален
\core\event\badge_disabled;Значок отключен
\core\event\badge_duplicated;Значок продублирован
\core\event\badge_enabled;Значок включен
\core\event\badge_listing_viewed;Просмотрен список значков
\core\event\badge_revoked;Значок отменен
\core\event\badge_updated;Значок обновлен
\core\event\badge_viewed;Значок просмотрен
\core\event\blog_association_created;Связь с блогом создана
\core\event\blog_association_deleted;Связь с блогом удалена
\core\event\blog_comment_created;Комментарий создан
\core\event\blog_comment_deleted;Комментарий удален
\core\event\blog_entries_viewed;Записи блога просмотрены
\core\event\blog_entry_created;Запись блока добавлена
\core\event\blog_entry_deleted;Запись блога удалена
\core\event\blog_entry_updated;Запись блога обновлена
\core\event\blog_external_added;Внешний блог зарегистрирован
\core\event\blog_external_removed;Внешний блог не  был зарегистрирован
\core\event\blog_external_updated;Внешний блог обновлен
\core\event\blog_external_viewed;Просмотр внешних зарегистрированных блогов
\core\event\calendar_event_created;Событие календаря создано
\core\event\calendar_event_deleted;Событие календаря удалено
\core\event\calendar_event_updated;Событие календаря обновлено
\core\event\calendar_subscription_created;Подписка на календарь создана
\core\event\calendar_subscription_deleted;Подписка на календарь удалена
\core\event\calendar_subscription_updated;Подписка на календарь обновлена
\core\event\capability_assigned;Право назначено
\core\event\capability_unassigned;Право отозвано
\core\event\cohort_created;Глобальная группа создана
\core\event\cohort_deleted;Глобальная группа удалена
\core\event\cohort_member_added;Пользователь добавлен в глобальную группу
\core\event\cohort_member_removed;Пользователь удален из глобальной группы
\core\event\cohort_updated;Глобальная группа обновлена
\core\event\competency_comment_created;Комментарий создан
\core\event\competency_comment_deleted;Комментарий удален
\core\event\competency_created;Компетенция создана.
\core\event\competency_deleted;Компетенция удалена.
\core\event\competency_evidence_created;Доказательство создано.
\core\event\competency_framework_created;Фреймворк компетенций создан.
\core\event\competency_framework_deleted;Фреймворк компетенций удален.
\core\event\competency_framework_updated;Фреймворк компетенций обновлен.
\core\event\competency_framework_viewed;Фреймворк компетенций просмотрен.
\core\event\competency_plan_approved;Учебный план одобрен.
\core\event\competency_plan_completed;Учебный план выполнен.
\core\event\competency_plan_created;Учебный план создан.
\core\event\competency_plan_deleted;Учебный план удален.
\core\event\competency_plan_reopened;Учебный план открыт заново.
\core\event\competency_plan_review_request_cancelled;Запрос на пересмотр учебного плана отклонен.
\core\event\competency_plan_review_requested;Запрошен пересмотр учебного плана.
\core\event\competency_plan_review_started;Начат пересмотр учебного плана.
\core\event\competency_plan_review_stopped;Остановлен пересмотр учебного плана.
\core\event\competency_plan_unapproved;Отменено одобрение учебного плана.
\core\event\competency_plan_unlinked;Отменена связь учебного плана.
\core\event\competency_plan_updated;Учебный план обновлен.
\core\event\competency_plan_viewed;Учебный план просмотрен.
\core\event\competency_template_created;Шаблон учебного плана создан.
\core\event\competency_template_deleted;Шаблон учебного плана удален.
\core\event\competency_template_updated;Шаблон учебного плана обновлен.
\core\event\competency_template_viewed;Шаблон учебного плана просмотрен.
\core\event\competency_updated;Компетенция обновлена.
\core\event\competency_user_competency_plan_viewed;Просмотрен план компетенций пользователя.
\core\event\competency_user_competency_rated_in_course;Задан рейтинг компетенции пользователя в курсе.
\core\event\competency_user_competency_rated_in_plan;Задан рейтинг компетенции пользователя в учебном плане.
\core\event\competency_user_competency_rated;Задан рейтинг компетенции пользователя.
\core\event\competency_user_competency_review_request_cancelled;Запрос на пересмотр компетенции пользователя отклонен.
\core\event\competency_user_competency_review_requested;Запрошен пересмотр компетенции пользователя.
\core\event\competency_user_competency_review_started;Начат пересмотр компетенции пользователя.
\core\event\competency_user_competency_review_stopped;Остановлен пересмотр компетенции пользователя.
\core\event\competency_user_competency_viewed_in_course;Просмотрена компетенция пользователя в курсе.
\core\event\competency_user_competency_viewed_in_plan;Просмотрена компетенция пользователя в учебном плане.
\core\event\competency_user_competency_viewed;Просмотрена компетенция пользователя.
\core\event\competency_user_evidence_created;Создано доказательство предыдущего обучения.
\core\event\competency_user_evidence_deleted;Удалено доказательство предыдущего обучения.
\core\event\competency_user_evidence_updated;Обновлено доказательство предыдущего обучения.
\core\event\competency_viewed;Компетенция просмотрена.
\core\event\completion_defaults_updated;Настройки по умолчанию для выполнения элемента курса обновлены
\core\event\config_log_created;Создан лог конфигурации
\core\event\contentbank_content_created;Контент создан
\core\event\contentbank_content_deleted;Контент удален
\core\event\contentbank_content_updated;Контент обновлен
\core\event\contentbank_content_uploaded;Контент загружен
\core\event\contentbank_content_viewed;Контент просмотрен
\core\event\context_locked;Контекст заморожен
\core\event\context_unlocked;Контекст не заморожен
\core\event\course_backup_created;Резервная копия курса создана
\core\event\course_category_created;Категория создана
\core\event\course_category_deleted;Категория удалена
\core\event\course_category_updated;Категория обновлена
\core\event\course_category_viewed;Просмотренные категории
\core\event\course_completed;Курс завершен
\core\event\course_completion_updated;Завершение курса обновлено
\core\event\course_content_deleted;Содержимое курса удалено
\core\event\course_created;Курс создан
\core\event\course_deleted;Курс удален
\core\event\course_information_viewed;Просмотрено описание курса
\core\event\course_module_completion_updated;Выполнение элемента курса обновлено
\core\event\course_module_created;Модуль курса создан
\core\event\course_module_deleted;Модуль курса удален
\core\event\course_module_updated;Модуль курса обновлен
\core\event\course_reset_ended;Сброс курса завершен
\core\event\course_reset_started;Сброс курса начат
\core\event\course_resources_list_viewed;Список экземпляров модуля в курсе просмотрен
\core\event\course_restored;Курс восстановлен
\core\event\course_section_created;Раздел курса создан
\core\event\course_section_deleted;Раздел курса удален
\core\event\course_section_updated;Раздел курса обновлен
\core\event\courses_searched;Проведен поиск по курсам
\core\event\course_updated;Курс обновлен
\core\event\course_user_report_viewed;Отчет по участнику курса просмотрен
\core\event\course_viewed;Курс просмотрен
\core\event\dashboard_reset;Страница «Личный кабинет» сброшена
\core\event\dashboards_reset;Все страницы «Личный кабинет» сброшены
\core\event\dashboard_viewed;Страница «Личный кабинет» просмотрена
\core\event\database_text_field_content_replaced;База данных глобального поиска и замены
\core\event\email_failed;Не удалось отправить сообщение электронной почты
\core\event\enrol_instance_created;Создан способ зачисления на курс
\core\event\enrol_instance_deleted;Поток удален
\core\event\enrol_instance_updated;Обновлен способ зачисления на курс
\core\event\grade_deleted;Оценка удалена
\core\event\grade_item_created;Создан элемент оценки
\core\event\grade_item_deleted;Элемент оценки удален
\core\event\grade_item_updated;Элемент оценки обновлен
\core\event\grade_letter_created;Буква оценки создана
\core\event\grade_letter_deleted;Буква оценки удалена
\core\event\grade_letter_updated;Буква оценки обновлена
\core\event\group_created;Группа создана
\core\event\group_deleted;Группа удалена
\core\event\grouping_created;Поток создан
\core\event\grouping_deleted;Поток удален
\core\event\grouping_group_assigned;Группа была назначена потоку
\core\event\grouping_group_unassigned;Группа была убрана из потока
\core\event\grouping_updated;Поток обновлен
\core\event\group_member_added;Член группы добавлен
\core\event\group_member_removed;Член группы удален
\core\event\group_message_sent;Групповое сообщение отправлено
\core\event\group_updated;Группа обновлена
\core\event\insights_viewed;Просмотр информации
\core\event\message_contact_added;Добавлен собеседник
\core\event\message_contact_removed;Собеседник удален
\core\event\message_deleted;Сообщение удалено
\core\event\message_sent;Сообщение отправлено
\core\event\message_user_blocked;[[eventmessageusersblocked]]
\core\event\message_user_unblocked;[[eventmessageusersunblocked]]
\core\event\message_viewed;Сообщение просмотрено
\core\event\mnet_access_control_created;Элемент списка контроля доступа создан
\core\event\mnet_access_control_updated;Элемент списка контроля доступа обновлен (больше не используется)
\core\event\note_created;Заметка создана
\core\event\note_deleted;Заметка удалена
\core\event\notes_viewed;Заметки просмотрены
\core\event\note_updated;Заметка обновлена
\core\event\notification_sent;Уведомление отправлено
\core\event\notification_viewed;Уведомление просмотрено
\core\event\prediction_action_started;Начался процесс прогнозирования
\core\event\question_category_created;Категория вопроса создана
\core\event\question_category_deleted;Категория вопросов удалена
\core\event\question_category_moved;Категория вопросов перемещена
\core\event\question_category_updated;Категория вопросов обновлена
\core\event\question_category_viewed;Категория вопросов просмотрена
\core\event\question_created;Вопрос создан
\core\event\question_deleted;Вопрос удален
\core\event\question_moved;Вопрос перемещен
\core\event\questions_exported;Вопросы экспортированы
\core\event\questions_imported;Вопросы импортированы
\core\event\question_updated;Вопрос обновлен
\core\event\question_viewed;Вопрос просмотрен
\core\event\recent_activity_viewed;Отчет о последних действиях просмотрен
\core\event\role_allow_assign_updated;Разрешение на назначение роли обновлено
\core\event\role_allow_override_updated;Разрешение на переопределение роли обновлено
\core\event\role_allow_switch_updated;Разрешение на переключение между ролями обновлено
\core\event\role_allow_view_updated;Разрешение на просмотр ролей обновлено
\core\event\role_assigned;Роль назначена
\core\event\role_capabilities_updated;Права для роли обновлены (больше не используется)
\core\event\role_deleted;Роль удалена
\core\event\role_unassigned;Назначение роли снято
\core\event\role_updated;Роль обновлена
\core\event\scale_created;Шкала создана
\core\event\scale_deleted;Шкала удалена
\core\event\scale_updated;Шкала обновлена
\core\event\search_indexed;Данные для поиска проиндексированы
\core\event\search_results_viewed;Просмотренные поисковые запросы
\core\event\tag_added;Тег добавлен к объекту
\core\event\tag_collection_created;Коллекция тегов создана
\core\event\tag_collection_deleted;Коллекция тегов удалена
\core\event\tag_collection_updated;Коллекция тегов обновлена
\core\event\tag_created;Тег создан
\core\event\tag_deleted;Тег удален
\core\event\tag_flagged;Тег помечен
\core\event\tag_removed;Тег удален из объекта
\core\event\tag_unflagged;С тега снята пометка
\core\event\tag_updated;Тег обновлен
\core\event\user_created;Пользователь создан
\core\event\user_deleted;Пользователь удален
\core\event\user_enrolment_created;Пользователь зачислен на курс
\core\event\user_enrolment_deleted;Пользователь отчислен из курса
\core\event\user_enrolment_updated;Зачисление пользователя на курс обновлена
\core\event\userfeedback_give;Переход по ссылке «Оставить отзыв об этом программном обеспечении»
\core\event\userfeedback_remind;Переход по ссылке «Напомнить мне позже»
\core\event\user_graded;Пользователю поставлена оценка
\core\event\user_info_category_created;Создана категория поля профиля пользователя
\core\event\user_info_category_deleted;Категория поля профиля пользователя удалена
\core\event\user_info_category_updated;Категория поля профиля пользователя обновлена
\core\event\user_info_field_created;Создано поле профиля пользователя
\core\event\user_info_field_deleted;Поле профиля пользователя удалено
\core\event\user_info_field_updated;Поле профиля пользователя обновлено
\core\event\user_list_viewed;Список пользователей просмотрен
\core\event\user_loggedinas;Пользователь вошел в систему от имени другого пользователя
\core\event\user_loggedin;Пользователь вошел в систему
\core\event\user_loggedout;Пользователь вышел
\core\event\user_login_failed;Неудачный вход пользователя
\core\event\user_password_policy_failed;Пароль пользователя не соответствует политике паролей
\core\event\user_password_updated;Пароль пользователя обновлен
\core\event\user_profile_viewed;Профиль пользователя просмотрен
\core\event\user_updated;Пользователь обновлен
\core\event\virus_infected_data_detected;Данные заражены
\core\event\virus_infected_file_detected;Файл заражен
\core\event\webservice_function_called;Осуществлен вызов функции веб-службы
\core\event\webservice_login_failed;Ошибка авторизации в веб-службе
\core\event\webservice_service_created;Веб-служба создана
\core\event\webservice_service_deleted;Веб-служба удалена
\core\event\webservice_service_updated;Веб-служба обновлена
\core\event\webservice_service_user_added;Пользователь веб-службы добавлен
\core\event\webservice_service_user_removed;Пользователь веб-службы удален
\core\event\webservice_token_created;Ключ веб-службы создан
\core\event\webservice_token_sent;Ключ веб-службы отправлен
\mod_anonvote\event\all_responses_deleted;Все ответы удалены
\mod_anonvote\event\all_responses_saved_as_text;Все ответы сохранены в виде текста
\mod_anonvote\event\all_responses_viewed;Просмотрен отчет «Все ответы»
\mod_anonvote\event\anonvote_previewed;Осуществлен предварительный просмотр тайного голосования
\mod_anonvote\event\attempt_resumed;Попытка возобновлена
\mod_anonvote\event\attempt_saved;Ответы сохранены
\mod_anonvote\event\attempt_submitted;Ответы сданы
\mod_anonvote\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_anonvote\event\course_module_viewed;Модуль курса просмотрен
\mod_anonvote\event\non_respondents_viewed;Просмотрен список не сдавших ответы
\mod_anonvote\event\question_created;Вопрос создан
\mod_anonvote\event\question_deleted;Вопрос удален
\mod_anonvote\event\response_deleted;Индивидуальный ответ удален
\mod_anonvote\event\response_viewed;Просмотрен отчет «Индивидуальный ответ»
\mod_assign\event\all_submissions_downloaded;Все представленные работы загружены.
\mod_assign\event\assessable_submitted;Работа представлена.
\mod_assign\event\batch_set_marker_allocation_viewed;Страница массового закрепления оценщиков просмотрена.
\mod_assign\event\batch_set_workflow_state_viewed;Страница массовой установки этапа оценивания просмотрена.
\mod_assign\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_assign\event\course_module_viewed;Модуль курса просмотрен
\mod_assign\event\extension_granted;Предоставлено продление.
\mod_assign\event\feedback_viewed;Отзыв просмотрен
\mod_assign\event\grading_form_viewed;Форма оценивания просмотрена
\mod_assign\event\grading_table_viewed;Таблица оценивания просмотрена
