date;user_id;course_id;modinfo_id;event_id;count
20221201;8;99;99;\core\event\course_viewed;1
20221202;8;99;36257;\core\event\course_module_updated;5
20221202;8;99;36257;\mod_quiz\event\course_module_viewed;5
20221202;8;99;99;\core\event\course_viewed;10
20221202;8;99;99;\core\event\grade_item_updated;1
20221202;8;99;99;\core\event\grouping_group_assigned;12
20221202;8;99;99;\core\event\user_list_viewed;6
20221202;8;99;99;\core\event\user_profile_viewed;2
20221202;8;99;99;\gradeexport_xls\event\grade_exported;1
20221202;8;99;99;\gradereport_grader\event\grade_report_viewed;1
20221205;5274;99;99;\core\event\course_viewed;1
20221205;5274;99;99;\gradereport_grader\event\grade_report_viewed;2
20221205;75204;99;99;\core\event\course_viewed;2
20221205;75204;99;99;\gradereport_grader\event\grade_report_viewed;4
20221205;8;99;10329;\core\event\course_module_updated;1
20221205;8;99;10329;\mod_quiz\event\course_module_viewed;1
20221205;8;99;10329;\mod_quiz\event\report_viewed;4
20221205;8;99;36257;\mod_quiz\event\course_module_viewed;2
20221205;8;99;36257;\mod_quiz\event\report_viewed;2
20221205;8;99;99;\core\event\course_section_updated;1
20221205;8;99;99;\core\event\course_viewed;6
20221205;8;99;99;\core\event\grade_item_updated;1
20221206;75204;99;99;\gradereport_grader\event\grade_report_viewed;4
20221206;8;99;36257;\core\event\course_module_updated;2
20221206;8;99;36257;\mod_quiz\event\course_module_viewed;2
20221206;8;99;99;\core\event\course_viewed;6
20221206;8;99;99;\core\event\group_member_added;1
20221206;8;99;99;\core\event\user_list_viewed;2
20221206;8;99;99;\gradeexport_xls\event\grade_exported;1
20221208;5274;99;10544;\mod_book\event\chapter_viewed;4
20221208;5274;99;10544;\mod_book\event\course_module_viewed;1
20221208;5274;99;5631;\mod_forum\event\course_module_viewed;1
20221208;5274;99;9378;\mod_resource\event\course_module_viewed;1
20221208;5274;99;9379;\mod_resource\event\course_module_viewed;1
20221208;5274;99;99;\core\event\course_viewed;1
20221208;5274;99;99;\gradeexport_xls\event\grade_exported;8
20221208;5274;99;99;\gradereport_grader\event\grade_report_viewed;8
20221208;5274;99;99;\gradereport_outcomes\event\grade_report_viewed;1
20221208;5274;99;99;\gradereport_overview\event\grade_report_viewed;2
20221208;5274;99;99;\gradereport_user\event\grade_report_viewed;4
20221208;75204;99;99;\core\event\course_viewed;2
20221208;75204;99;99;\gradereport_grader\event\grade_report_viewed;1
20221209;8;99;99;\core\event\course_viewed;3
20221209;8;99;99;\core\event\user_list_viewed;2
20221209;8;99;99;\gradeexport_xls\event\grade_exported;1
20221211;75204;99;99;\gradereport_grader\event\grade_report_viewed;2
20221212;4621;99;8757;\mod_resource\event\course_module_viewed;1
20221212;4621;99;8758;\mod_resource\event\course_module_viewed;2
20221212;4621;99;8769;\mod_resource\event\course_module_viewed;1
20221212;4621;99;99;\core\event\course_viewed;1
20221212;75204;99;6745;\core\event\course_module_completion_updated;2
20221212;75204;99;6745;\mod_resource\event\course_module_viewed;1
20221212;75204;99;6964;\core\event\course_module_completion_updated;2
20221212;75204;99;6964;\mod_resource\event\course_module_viewed;1
20221212;75204;99;7052;\core\event\course_module_completion_updated;2
20221212;75204;99;7052;\mod_resource\event\course_module_viewed;2
20221212;75204;99;7054;\mod_resource\event\course_module_viewed;1
20221212;75204;99;7087;\core\event\course_module_completion_updated;2
20221212;75204;99;7087;\mod_resource\event\course_module_viewed;2
20221212;75204;99;7108;\core\event\course_module_completion_updated;2
20221212;75204;99;7108;\mod_resource\event\course_module_viewed;1
20221212;75204;99;8438;\core\event\course_module_completion_updated;2
20221212;75204;99;8438;\mod_resource\event\course_module_viewed;2
20221212;75204;99;8596;\core\event\course_module_completion_updated;2
20221212;75204;99;8596;\mod_resource\event\course_module_viewed;1
20221212;75204;99;8624;\core\event\course_module_completion_updated;2
20221212;75204;99;8624;\mod_resource\event\course_module_viewed;1
20221212;75204;99;8625;\core\event\course_module_completion_updated;2
20221212;75204;99;8625;\mod_resource\event\course_module_viewed;1
20221212;75204;99;8627;\core\event\course_module_completion_updated;2
20221212;75204;99;8627;\mod_resource\event\course_module_viewed;1
20221212;75204;99;8714;\core\event\course_module_completion_updated;2
20221212;75204;99;8714;\mod_resource\event\course_module_viewed;1
20221212;75204;99;8757;\core\event\course_module_completion_updated;2
20221212;75204;99;8757;\mod_resource\event\course_module_viewed;1
20221212;75204;99;8758;\core\event\course_module_completion_updated;2
20221212;75204;99;8758;\mod_resource\event\course_module_viewed;1
20221212;75204;99;8769;\core\event\course_module_completion_updated;2
20221212;75204;99;8769;\mod_resource\event\course_module_viewed;1
20221212;75204;99;8950;\core\event\course_module_completion_updated;2
20221212;75204;99;8950;\mod_resource\event\course_module_viewed;1
20221212;75204;99;9250;\core\event\course_module_completion_updated;2
20221212;75204;99;9250;\mod_resource\event\course_module_viewed;1
20221212;75204;99;9260;\core\event\course_module_completion_updated;2
20221212;75204;99;9260;\mod_resource\event\course_module_viewed;1
20221212;75204;99;99;\core\event\course_viewed;9
20221212;8;99;10544;\mod_book\event\chapter_viewed;3
20221212;8;99;10544;\mod_book\event\course_module_viewed;1
20221212;8;99;11210;\core\event\course_module_updated;1
20221212;8;99;40553;\core\event\course_module_created;1
20221212;8;99;40553;\core\event\course_module_updated;1
20221212;8;99;5852;\mod_forum\event\assessable_uploaded;1
20221212;8;99;5852;\mod_forum\event\course_module_viewed;1
20221212;8;99;5852;\mod_forum\event\discussion_viewed;1
20221212;8;99;5852;\mod_forum\event\post_created;1
20221212;8;99;99;\core\event\course_viewed;12
20221212;8;99;99;\core\event\user_enrolment_created;1
20221212;8;99;99;\core\event\user_enrolment_deleted;1
20221212;8;99;99;\core\event\user_list_viewed;4
20221212;8;99;99;\core\event\user_profile_viewed;2
20221212;8;99;99;\gradeexport_xls\event\grade_exported;1
20221212;8;99;99;\gradereport_grader\event\grade_report_viewed;3
20221212;8;99;99;\mod_forum\event\user_report_viewed;1
20221213;8;99;10544;\mod_book\event\chapter_viewed;1
20221213;8;99;99;\core\event\course_viewed;12
20221213;8;99;99;\core\event\user_list_viewed;2
20221213;8;99;99;\core\event\user_profile_viewed;1
20221213;8;99;99;\gradeexport_xls\event\grade_exported;1
20221213;8;99;99;\gradereport_grader\event\grade_report_viewed;2
20221214;8;99;36257;\core\event\course_module_updated;1
20221214;8;99;36257;\mod_quiz\event\course_module_viewed;2
20221214;8;99;36257;\mod_quiz\event\report_viewed;3
20221214;8;99;40553;\core\event\course_module_updated;1
20221214;8;99;99;\core\event\course_viewed;8
20221215;5274;99;99;\core\event\course_viewed;1
20221215;5274;99;99;\gradereport_grader\event\grade_report_viewed;8
20221215;8;99;99;\core\event\course_viewed;3
20221215;8;99;99;\core\event\user_list_viewed;1
20221215;8;99;99;\gradeexport_xls\event\grade_exported;1
20221215;8;99;99;\gradereport_grader\event\grade_report_viewed;1
20221216;5274;99;99;\core\event\course_viewed;2
20221216;5274;99;99;\gradereport_grader\event\grade_report_viewed;21
20221216;75204;99;99;\core\event\course_viewed;1
20221216;8;99;36257;\core\event\course_module_updated;1
20221216;8;99;36257;\mod_quiz\event\course_module_viewed;1
20221216;8;99;99;\core\event\course_viewed;5
20221216;8;99;99;\gradeexport_xls\event\grade_exported;1
20221217;75204;99;99;\core\event\course_viewed;1
20221217;75204;99;99;\gradereport_grader\event\grade_report_viewed;1
20221219;5274;99;36257;\mod_quiz\event\report_viewed;1
20221219;5274;99;99;\core\event\course_viewed;1
20221219;5274;99;99;\gradereport_grader\event\grade_report_viewed;2
20221219;5274;99;99;\gradereport_user\event\grade_report_viewed;2
20221219;8;99;99;\core\event\course_viewed;1
20221219;8;99;99;\core\event\user_list_viewed;3
20221219;8;99;99;\core\event\user_profile_viewed;2
20221219;8;99;99;\gradeexport_xls\event\grade_exported;1
20221219;8;99;99;\gradereport_grader\event\grade_report_viewed;2
20221219;8;99;99;\gradereport_overview\event\grade_report_viewed;1
20221219;8;99;99;\gradereport_user\event\grade_report_viewed;1
20221219;8;99;99;\report_log\event\user_report_viewed;1
20221220;8;99;36257;\mod_quiz\event\course_module_viewed;1
20221220;8;99;99;\core\event\course_viewed;4
20221221;8;99;99;\core\event\course_viewed;6
20221221;8;99;99;\core\event\user_list_viewed;1
20221222;8;99;10132;\core\event\course_module_updated;1
20221222;8;99;10132;\mod_quiz\event\report_viewed;1
20221222;8;99;10133;\core\event\course_module_updated;1
20221222;8;99;10133;\mod_quiz\event\report_viewed;1
20221222;8;99;36257;\mod_quiz\event\attempt_regraded;273
20221222;8;99;36257;\mod_quiz\event\course_module_viewed;1
20221222;8;99;36257;\mod_quiz\event\report_viewed;1
20221222;8;99;40553;\core\event\course_module_updated;9
20221222;8;99;99;\core\event\course_viewed;13
20221222;8;99;99;\core\event\grade_item_updated;2
20221222;8;99;99;\core\event\user_profile_viewed;1
20221222;8;99;99;\gradeexport_xls\event\grade_exported;1
20221222;8;99;99;\gradereport_grader\event\grade_report_viewed;8
20221222;8;99;99;\gradereport_user\event\grade_report_viewed;2
20221227;2943;99;99;\core\event\course_viewed;1
20221227;2943;99;99;\core\event\user_profile_viewed;6
20221227;2943;99;99;\gradereport_grader\event\grade_report_viewed;1
20221227;2943;99;99;\gradereport_user\event\grade_report_viewed;20
20221228;2943;99;99;\core\event\course_viewed;2
20221228;2943;99;99;\core\event\user_profile_viewed;9
20221228;2943;99;99;\gradereport_grader\event\grade_report_viewed;2
20221228;2943;99;99;\gradereport_user\event\grade_report_viewed;34
20221229;2943;99;99;\core\event\course_viewed;2
20221229;2943;99;99;\core\event\user_profile_viewed;6
20221229;2943;99;99;\gradereport_grader\event\grade_report_viewed;2
20221229;2943;99;99;\gradereport_user\event\grade_report_viewed;25
20230110;8;99;36257;\core\event\course_module_completion_updated;1
20230110;8;99;40553;\mod_simplecertificate\event\course_module_viewed;1
20230110;8;99;99;\core\event\course_viewed;12
20230110;8;99;99;\core\event\user_graded;1
20230110;8;99;99;\core\event\user_list_viewed;3
20230110;8;99;99;\core\event\user_profile_viewed;1
20230110;8;99;99;\gradereport_grader\event\grade_report_viewed;2
20230110;8;99;99;\gradereport_singleview\event\grade_report_viewed;3
20230111;2943;99;99;\core\event\course_viewed;1
20230111;2943;99;99;\gradereport_grader\event\grade_report_viewed;1
