datetime;dollar;d_dollar;day_of_week_0;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6;sin_month;cos_month
2009-01-01;29.3916;0.0;0;0;0;1;0;0;0;0.0;1.0
2009-01-02;29.3916;0.0;0;0;0;0;1;0;0;0.0;1.0
2009-01-03;29.3916;0.0;0;0;0;0;0;1;0;0.0;1.0
2009-01-04;29.3916;0.0;0;0;0;0;0;0;1;0.0;1.0
2009-01-05;29.3916;0.0;1;0;0;0;0;0;0;0.0;1.0
2009-01-06;29.3916;0.0;0;1;0;0;0;0;0;0.0;1.0
2009-01-07;29.3916;0.0;0;0;1;0;0;0;0;0.0;1.0
2009-01-08;29.3916;0.0;0;0;0;1;0;0;0;0.0;1.0
2009-01-09;29.3916;0.0;0;0;0;0;1;0;0;0.0;1.0
2009-01-10;29.3916;0.0;0;0;0;0;0;1;0;0.0;1.0
2009-01-11;29.3916;0.0;0;0;0;0;0;0;1;0.0;1.0
2009-01-12;30.5331;1.1415000000000006;1;0;0;0;0;0;0;0.0;1.0
2009-01-13;30.9981;0.46499999999999986;0;1;0;0;0;0;0;0.0;1.0
2009-01-14;31.2226;0.22449999999999903;0;0;1;0;0;0;0;0.0;1.0
2009-01-15;31.5616;0.33899999999999864;0;0;0;1;0;0;0;0.0;1.0
2009-01-16;32.2135;0.6519000000000048;0;0;0;0;1;0;0;0.0;1.0
2009-01-17;32.5747;0.36119999999999663;0;0;0;0;0;1;0;0.0;1.0
2009-01-18;32.5747;0.0;0;0;0;0;0;0;1;0.0;1.0
2009-01-19;32.5747;0.0;1;0;0;0;0;0;0;0.0;1.0
2009-01-20;32.9085;0.33379999999999654;0;1;0;0;0;0;0;0.0;1.0
2009-01-21;33.4154;0.5069000000000017;0;0;1;0;0;0;0;0.0;1.0
2009-01-22;32.643;-0.7723999999999975;0;0;0;1;0;0;0;0.0;1.0
2009-01-23;32.7991;0.15610000000000213;0;0;0;0;1;0;0;0.0;1.0
2009-01-24;32.8926;0.0934999999999988;0;0;0;0;0;1;0;0.0;1.0
2009-01-25;32.8926;0.0;0;0;0;0;0;0;1;0.0;1.0
2009-01-26;32.8926;0.0;1;0;0;0;0;0;0;0.0;1.0
2009-01-27;32.9018;0.009199999999999875;0;1;0;0;0;0;0;0.0;1.0
2009-01-28;32.9979;0.09609999999999985;0;0;1;0;0;0;0;0.0;1.0
2009-01-29;33.2155;0.21759999999999735;0;0;0;1;0;0;0;0.0;1.0
2009-01-30;34.6847;1.4692000000000007;0;0;0;0;1;0;0;0.0;1.0
2009-01-31;35.4146;0.7299000000000007;0;0;0;0;0;1;0;0.0;1.0
2009-02-01;35.4146;0.0;0;0;0;0;0;0;1;0.49999999999999994;0.8660254037844387
2009-02-02;35.4146;0.0;1;0;0;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-03;36.1767;0.7620999999999967;0;1;0;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-04;36.129;-0.047699999999998965;0;0;1;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-05;36.0135;-0.11549999999999727;0;0;0;1;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-06;36.3095;0.2959999999999994;0;0;0;0;1;0;0;0.49999999999999994;0.8660254037844387
2009-02-07;36.3798;0.07030000000000314;0;0;0;0;0;1;0;0.49999999999999994;0.8660254037844387
2009-02-08;36.3798;0.0;0;0;0;0;0;0;1;0.49999999999999994;0.8660254037844387
2009-02-09;36.3798;0.0;1;0;0;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-10;36.1258;-0.2540000000000049;0;1;0;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-11;35.9285;-0.19729999999999848;0;0;1;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-12;35.8323;-0.09620000000000317;0;0;0;1;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-13;34.8003;-1.0319999999999965;0;0;0;0;1;0;0;0.49999999999999994;0.8660254037844387
2009-02-14;34.5578;-0.24249999999999972;0;0;0;0;0;1;0;0.49999999999999994;0.8660254037844387
2009-02-15;34.5578;0.0;0;0;0;0;0;0;1;0.49999999999999994;0.8660254037844387
2009-02-16;34.5578;0.0;1;0;0;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-17;34.7797;0.221899999999998;0;1;0;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-18;35.6345;0.8548000000000044;0;0;1;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-19;36.4267;0.792199999999994;0;0;0;1;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-20;36.091;-0.33569999999999567;0;0;0;0;1;0;0;0.49999999999999994;0.8660254037844387
2009-02-21;36.076;-0.015000000000000568;0;0;0;0;0;1;0;0.49999999999999994;0.8660254037844387
2009-02-22;36.076;0.0;0;0;0;0;0;0;1;0.49999999999999994;0.8660254037844387
2009-02-23;36.076;0.0;1;0;0;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-24;36.076;0.0;0;1;0;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-25;36.0254;-0.050600000000002865;0;0;1;0;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-26;35.7442;-0.28119999999999834;0;0;0;1;0;0;0;0.49999999999999994;0.8660254037844387
2009-02-27;35.7223;-0.02190000000000225;0;0;0;0;1;0;0;0.49999999999999994;0.8660254037844387
2009-02-28;35.7205;-0.001799999999995805;0;0;0;0;0;1;0;0.49999999999999994;0.8660254037844387
2009-03-01;35.7205;0.0;0;0;0;0;0;0;1;0.8660254037844386;0.5000000000000001
2009-03-02;35.7205;0.0;1;0;0;0;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-03;36.1644;0.4438999999999993;0;1;0;0;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-04;36.2054;0.04099999999999682;0;0;1;0;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-05;36.2284;0.02300000000000324;0;0;0;1;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-06;35.8899;-0.33850000000000335;0;0;0;0;1;0;0;0.8660254037844386;0.5000000000000001
2009-03-07;35.7374;-0.1524999999999963;0;0;0;0;0;1;0;0.8660254037844386;0.5000000000000001
2009-03-08;35.7374;0.0;0;0;0;0;0;0;1;0.8660254037844386;0.5000000000000001
2009-03-09;35.7374;0.0;1;0;0;0;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-10;35.7374;0.0;0;1;0;0;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-11;35.4534;-0.2839999999999989;0;0;1;0;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-12;35.1164;-0.3370000000000033;0;0;0;1;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-13;35.2944;0.17800000000000438;0;0;0;0;1;0;0;0.8660254037844386;0.5000000000000001
2009-03-14;34.8316;-0.46280000000000143;0;0;0;0;0;1;0;0.8660254037844386;0.5000000000000001
2009-03-15;34.8316;0.0;0;0;0;0;0;0;1;0.8660254037844386;0.5000000000000001
2009-03-16;34.8316;0.0;1;0;0;0;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-17;34.8388;0.007199999999997431;0;1;0;0;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-18;34.5318;-0.30700000000000216;0;0;1;0;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-19;34.4203;-0.11149999999999949;0;0;0;1;0;0;0;0.8660254037844386;0.5000000000000001
2009-03-20;33.8222;-0.5980999999999952;0;0;0;0;1;0;0;0.8660254037844386;0.5000000000000001
